epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,97.6863,0.72966,0.45107,1.0062,0.93123,0.79263,0.84373,0.60446,0.78332,0.38463,1.12231,0.000246313,0.000246313,0.000246313
43,99.907,0.7523,0.45,0.99543,0.90443,0.83092,0.8482,0.60952,0.78721,0.38212,1.12937,0.000240125,0.000240125,0.000240125
44,102.174,0.76635,0.48944,1.08672,0.90731,0.83616,0.85937,0.61132,0.79268,0.37843,1.13373,0.000233938,0.000233938,0.000233938
45,104.388,0.7185,0.42317,0.99056,0.91301,0.83298,0.85809,0.60919,0.79347,0.38001,1.1346,0.00022775,0.00022775,0.00022775
46,106.624,0.72539,0.43409,1.01622,0.913,0.83239,0.85665,0.60895,0.79172,0.37752,1.13659,0.000221562,0.000221562,0.000221562
47,108.872,0.70431,0.45559,0.99672,0.9056,0.82826,0.86039,0.62002,0.78947,0.36589,1.12954,0.000215375,0.000215375,0.000215375
48,111.341,0.73619,0.45974,1.00149,0.9127,0.79315,0.84905,0.60057,0.77972,0.37323,1.11259,0.000209188,0.000209188,0.000209188
49,113.542,0.71762,0.44146,1.02697,0.90824,0.798,0.83878,0.59664,0.7793,0.37313,1.10683,0.000203,0.000203,0.000203
50,115.787,0.75805,0.4483,1.07392,0.90435,0.80127,0.82954,0.59288,0.78279,0.37749,1.10578,0.000196812,0.000196812,0.000196812
51,118.003,0.68465,0.40652,1.00035,0.90538,0.8018,0.82613,0.59163,0.78457,0.37957,1.10599,0.000190625,0.000190625,0.000190625
52,120.233,0.64775,0.38478,0.96638,0.91023,0.79859,0.83398,0.59425,0.7977,0.3901,1.13061,0.000184438,0.000184438,0.000184438
53,122.494,0.6896,0.42151,1.00409,0.90304,0.79634,0.83471,0.59552,0.79959,0.38979,1.13707,0.00017825,0.00017825,0.00017825
54,124.798,0.68113,0.406,0.98148,0.90141,0.79664,0.83102,0.6007,0.80214,0.38596,1.13759,0.000172063,0.000172063,0.000172063
55,127.033,0.69769,0.4101,0.9731,0.8978,0.80338,0.83494,0.59474,0.8016,0.38847,1.13411,0.000165875,0.000165875,0.000165875
56,129.27,0.70559,0.40661,0.97258,0.90004,0.80338,0.84681,0.60071,0.79892,0.37802,1.1241,0.000159688,0.000159688,0.000159688
57,131.526,0.65417,0.43293,0.97563,0.99371,0.77712,0.84694,0.60879,0.7918,0.36994,1.11896,0.0001535,0.0001535,0.0001535
58,133.896,0.74105,0.43547,0.9734,0.99373,0.77542,0.85814,0.61264,0.78893,0.36854,1.11669,0.000147312,0.000147312,0.000147312
59,136.137,0.65201,0.38809,0.93328,0.91573,0.83315,0.85967,0.61286,0.7837,0.35661,1.1151,0.000141125,0.000141125,0.000141125
60,138.431,0.63384,0.36785,0.93136,0.87273,0.84447,0.8562,0.60835,0.77982,0.35605,1.11703,0.000134937,0.000134937,0.000134937
61,140.64,0.67203,0.39668,0.97334,0.87203,0.84447,0.85543,0.60678,0.77827,0.3572,1.11583,0.00012875,0.00012875,0.00012875
62,142.911,0.73292,0.44595,0.99107,0.9159,0.83713,0.85502,0.60348,0.7892,0.36082,1.12671,0.000122563,0.000122563,0.000122563
63,145.162,0.65685,0.36882,0.96647,0.91613,0.83775,0.85219,0.60547,0.79526,0.36487,1.12914,0.000116375,0.000116375,0.000116375
64,147.41,0.70324,0.50965,0.96986,0.87956,0.84443,0.85215,0.60063,0.79964,0.37183,1.13135,0.000110188,0.000110188,0.000110188
65,149.641,0.67084,0.40453,0.95216,0.87724,0.84447,0.8548,0.60312,0.79467,0.36654,1.12856,0.000104,0.000104,0.000104
66,151.952,0.64625,0.39535,0.98095,0.86761,0.84447,0.85015,0.60442,0.7943,0.36591,1.12837,9.78125e-05,9.78125e-05,9.78125e-05
67,154.331,0.64204,0.39147,0.96862,0.88155,0.84199,0.83892,0.60336,0.79397,0.36667,1.13021,9.1625e-05,9.1625e-05,9.1625e-05
