epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,87.9734,0.73196,0.51116,1.0036,0.87849,0.77815,0.80134,0.56893,0.83506,0.46466,1.18083,0.000848969,0.000848969,0.000848969
43,89.5964,0.74249,0.48051,0.98576,0.94289,0.74616,0.78446,0.56617,0.80872,0.43395,1.13271,0.000834822,0.000834822,0.000834822
44,91.2577,0.74504,0.52746,1.05761,0.90154,0.73513,0.78034,0.56603,0.79902,0.46593,1.12198,0.000820675,0.000820675,0.000820675
45,92.8856,0.77056,0.49587,0.99432,0.90663,0.69093,0.78271,0.58363,0.82435,0.4667,1.1371,0.000806528,0.000806528,0.000806528
46,94.5962,0.73838,0.47948,1.00301,0.93281,0.73779,0.80963,0.57221,0.81087,0.43926,1.10934,0.00079238,0.00079238,0.00079238
47,96.2222,0.69737,0.45043,0.96789,0.93,0.69317,0.79625,0.5687,0.83825,0.46431,1.16881,0.000778233,0.000778233,0.000778233
48,97.9057,0.76167,0.5119,1.01228,0.9302,0.71329,0.7984,0.55719,0.85343,0.47306,1.15848,0.000764086,0.000764086,0.000764086
49,99.6274,0.72306,0.47763,1.02956,0.88985,0.65845,0.76954,0.55438,0.82019,0.4432,1.13134,0.000749939,0.000749939,0.000749939
50,101.294,0.75127,0.50589,1.06698,0.90827,0.72232,0.7901,0.56196,0.7869,0.45704,1.08527,0.000735792,0.000735792,0.000735792
51,103.186,0.67056,0.46161,0.9847,0.93513,0.7512,0.77988,0.57342,0.77314,0.42524,1.10204,0.000721645,0.000721645,0.000721645
52,104.775,0.70121,0.43614,0.99772,0.96893,0.67549,0.78005,0.57574,0.81297,0.44074,1.12842,0.000707498,0.000707498,0.000707498
53,106.385,0.69478,0.47896,1.0042,0.91626,0.69685,0.79433,0.5786,0.81553,0.44185,1.1013,0.000693351,0.000693351,0.000693351
54,108.056,0.67531,0.4487,0.97332,0.88595,0.69696,0.80388,0.58361,0.83956,0.42799,1.12383,0.000679204,0.000679204,0.000679204
55,109.72,0.73179,0.45645,0.97233,0.87067,0.70507,0.78631,0.556,0.83834,0.44332,1.14301,0.000665057,0.000665057,0.000665057
56,111.267,0.69524,0.44053,0.96072,0.97573,0.68356,0.78739,0.56647,0.82001,0.44957,1.13854,0.000650909,0.000650909,0.000650909
57,112.914,0.68341,0.44239,0.99954,0.95579,0.69254,0.8062,0.57358,0.81361,0.43802,1.11146,0.000636762,0.000636762,0.000636762
58,114.581,0.71384,0.48463,0.96279,0.94245,0.68881,0.79938,0.57364,0.8448,0.44147,1.1499,0.000622615,0.000622615,0.000622615
59,116.204,0.62035,0.41579,0.92634,0.89705,0.7576,0.80287,0.57973,0.8496,0.45748,1.16828,0.000608468,0.000608468,0.000608468
60,117.85,0.62807,0.4057,0.92556,0.92344,0.75377,0.79451,0.55471,0.86913,0.44924,1.219,0.000594321,0.000594321,0.000594321
61,119.465,0.6787,0.41923,0.97275,0.87231,0.74363,0.78132,0.56818,0.8931,0.46304,1.23057,0.000580174,0.000580174,0.000580174
62,121.233,0.70573,0.48583,0.97083,0.89874,0.71044,0.77615,0.54396,0.88425,0.48484,1.25711,0.000566027,0.000566027,0.000566027
63,122.815,0.62521,0.39147,0.94535,0.89172,0.71582,0.80271,0.56643,0.85826,0.46221,1.19367,0.00055188,0.00055188,0.00055188
64,124.461,0.67361,0.44882,0.94879,0.93332,0.69432,0.79292,0.55258,0.89459,0.47162,1.20363,0.000537733,0.000537733,0.000537733
65,126.069,0.65293,0.418,0.94223,0.88265,0.74616,0.80141,0.55373,0.87069,0.45307,1.24476,0.000523586,0.000523586,0.000523586
