epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,78.3843,0.69342,0.42578,0.94929,0.90823,0.69669,0.78764,0.56571,0.93216,0.52074,1.10026,0.000848969,0.000848969,0.000848969
43,80.1772,0.69786,0.47023,0.9292,0.84818,0.64794,0.75382,0.53555,0.85108,0.52615,1.05227,0.000834822,0.000834822,0.000834822
44,81.9045,0.67864,0.45855,0.92643,0.84589,0.74852,0.78498,0.55925,0.85058,0.47523,1.0474,0.000820675,0.000820675,0.000820675
45,83.6502,0.73069,0.47141,0.93919,0.88537,0.69071,0.77887,0.54124,0.87346,0.51348,1.06904,0.000806528,0.000806528,0.000806528
46,85.3942,0.67937,0.45688,0.93807,0.91864,0.67819,0.74294,0.53892,0.86882,0.53259,1.04767,0.00079238,0.00079238,0.00079238
47,87.0885,0.68327,0.44999,0.94351,0.91188,0.68679,0.73177,0.54046,0.84773,0.54685,1.03641,0.000778233,0.000778233,0.000778233
48,88.7983,0.63695,0.42546,0.91631,0.96385,0.68212,0.75532,0.5385,0.82707,0.54698,1.01583,0.000764086,0.000764086,0.000764086
49,90.4905,0.66175,0.44893,0.94939,0.93942,0.69432,0.7694,0.54096,0.86056,0.51928,1.04302,0.000749939,0.000749939,0.000749939
50,92.2325,0.62509,0.69512,0.84586,0.93463,0.69938,0.74779,0.54213,0.84694,0.51812,1.02953,0.000735792,0.000735792,0.000735792
51,93.8938,0.65183,0.43765,0.91654,0.92051,0.67473,0.73147,0.53225,0.83451,0.51756,1.01955,0.000721645,0.000721645,0.000721645
